Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Luke,de Greeff,Beach Volleyball,Active,True,True,D,Canadian Elite,Male,,Luke de Greeff
Winter,Athlete,Louie Cesar,De Guzman,Bobsleigh,Active,True,True,D,Canadian Elite,Male,,Louie Cesar De Guzman
Summer,Athlete,Abigail,Dent,Rowing,Active,True,True,SR,Canadian Elite,Female,,Abigail Dent
Summer,Athlete,Shaye,de Paiva,Rowing,Active,True,True,SR,Canadian Elite,Female,,Shaye de Paiva
Winter,Athlete,Dylan,Deschamps,Freestyle Ski,,True,False,SR,Canadian Elite,,,Dylan Deschamps
Winter,Athlete,Laurianne,Desmarais-Gilbert,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Female,,Laurianne Desmarais-Gilbert
Summer,Athlete,Maura,Dewey,Sailing,Active,True,True,SR,Canadian Elite,Female,,Maura Dewey
Summer,Athlete,Tejvir,Dhinsa,Wrestling,Incomplete,True,False,D,Canadian Elite,Male,,Tejvir Dhinsa
Winter,Athlete,Emily,Dickson,Biathlon,Active,True,True,SR1,Canadian Elite,Female,,Emily Dickson
Winter,Athlete,Gabriel,Dion,Freestyle Ski,,True,False,D,Canadian Elite,,,Gabriel Dion
Winter,Athlete,Brooke,Disher,Hockey,,True,False,D,Canadian Elite,,,Brooke Disher
Summer,Athlete,Adam,Doane,Rugby,,True,False,D,Canadian Elite,,,Adam Doane
Summer,Athlete,Maddy,Donnelly,Rugby,Incomplete,True,False,D,Canadian Elite,Female,,Maddy Donnelly
Summer,Athlete,Mathieu,Dorais,Para Athletics,Active,True,False,D,Canadian Elite,Male,,Mathieu Dorais
Winter,Athlete,Jasmine,Drolet,Cross-Country Ski,Active,True,True,SR,Canadian Elite,Female,,Jasmine Drolet
Summer,Athlete,Maxime,Drolet Gauthier,Wheelchair Rugby,,True,False,D,Canadian Elite,,,Maxime Drolet Gauthier
Winter,Athlete,Xavier,Drouin,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Male,,Xavier Drouin
Winter,Athlete,Kevin,Drury,Ski Cross,,True,False,SR,Canadian Elite,,,Kevin Drury
Summer,Athlete,Reuel,D'Souza,Water Polo,Active,True,True,SR,Canadian Elite,Male,,Reuel D'Souza
Winter,Athlete,Joey,Dubuc,Freestyle Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Joey Dubuc
Winter,Athlete,Alexandre,Duchaine,Freestyle Ski,,True,False,SR1,Canadian Elite,,,Alexandre Duchaine
Winter,Athlete,Gabriel,Dufresne,Freestyle Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Gabriel Dufresne
Summer,Athlete,Chloe,Dunbar,Para Athletics,Incomplete,True,False,D,Canadian Elite,Female,,Chloe Dunbar
Summer,Athlete,Evan,Dunfee,Athletics,Active,True,True,SR1,Canadian Elite,Male,,Evan Dunfee
Winter,Athlete,Matt,Dunstone,Curling,Active,True,True,SR,Canadian Elite,Male,,Matt Dunstone
Summer,Athlete,Marilou,Duvernay Tardif,Rowing,Expired,True,True,SR,Canadian Elite,Female,,Marilou Duvernay Tardif
Summer,Athlete,Jasmyn,Edwards,Para Athletics,,True,False,D,Canadian Elite,,,Jasmyn Edwards
Summer,Athlete,Kirsten,Edwards,Rowing,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Kirsten Edwards
Summer,Athlete,Jennifer,Elizarov,Athletics,,True,False,SR,Canadian Elite,,,Jennifer Elizarov
Summer,Athlete,Eleonore,Elstone,Para Equestrian,,True,False,SR,Canadian Elite,,,Eleonore Elstone
Winter,Athlete,Karl,Eriksson,Para Alpine Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Karl Eriksson
Winter,Athlete,Yohan,Eskrick-Parkinson,Bobsleigh,Incomplete,True,True,D,Canadian Elite,Male,,Yohan Eskrick-Parkinson
Summer,Athlete,Liam,Espedido,Beach Volleyball,Incomplete,True,False,D,Canadian Elite,,,Liam Espedido
Summer,Athlete,Stephen,Eustaquio,Soccer,,True,False,SR,Canadian Elite,,,Stephen Eustaquio
Winter,Athlete,Michael,Evelyn,Bobsleigh,,True,False,SR,Canadian Elite,,,Michael Evelyn
Summer,Athlete,Thomas,Fafard,Athletics,,True,False,SR,Canadian Elite,,,Thomas Fafard
Summer,Athlete,Jordyn,Faiczak,Field Hockey,Active,True,True,SR,Canadian Elite,Female,,Jordyn Faiczak
Summer,Athlete,Hau-Li,Fan,Swimming,Active,True,True,SRI,Canadian Elite,Male,,Hau-Li Fan
Summer,Athlete,Thana,Fayad,Volleyball,Active,True,True,D,Canadian Elite,Female,,Thana Fayad
Winter,Athlete,Stefanie,Fleckenstein,Alpine Ski,Incomplete,True,False,C1,Canadian Elite,Female,,Stefanie Fleckenstein
Summer,Athlete,Jessie,Flemming,Soccer,,True,False,SR,Canadian Elite,,,Jessie Flemming
Summer,Athlete,Will,Floyd,Athletics,,True,False,D,Canadian Elite,,,Will Floyd
Summer,Athlete,Gabriella,Flynn,Trampoline,Incomplete,True,False,SR,Canadian Elite,Female,,Gabriella Flynn
Summer,Athlete,Renee,Foessel,Para Athletics,,True,False,SR1,Canadian Elite,,,Renee Foessel
Winter,Athlete,Charlie,Fontaine,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Female,,Charlie Fontaine
Winter,Athlete,Miha,Fontaine,Freestyle Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Miha Fontaine
Winter,Athlete,Ina,Forrest,Wheelchair Curling,Incomplete,True,False,SR1,Canadian Elite,Female,,Ina Forrest
Summer,Athlete,Rachel,Forsyth,Athletics,,True,False,D,Canadian Elite,,,Rachel Forsyth
Summer,Athlete,Addisyn,Franceschini,Para Athletics,,True,False,SR,Canadian Elite,,,Addisyn Franceschini
Summer,Athlete,Larissa,Franklin,Softball,Active,True,True,SR2 ,Canadian Elite,Female,,Larissa Franklin
Winter,Athlete,Amy,Fraser,Freestyle Ski,Incomplete,True,False,SR,Canadian Elite,Female,,Amy Fraser
Summer,Athlete,Ethan,Fryer,Rugby,,True,False,D,Canadian Elite,,,Ethan Fryer
Summer,Athlete,Eric,Furtado Rodrigues,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Eric Furtado Rodrigues
Summer,Athlete,Collyn,Gagne,Swimming,Active,True,True,SR,Canadian Elite,Male,,Collyn Gagne
Winter,Athlete,Jeremy,Gagne,Freestyle Ski,Incomplete,True,True,D,Canadian Elite,Male,,Jeremy Gagne
Winter,Athlete,Tiana,Gairns,Ski Cross,Incomplete,True,False,SR,Canadian Elite,Female,,Tiana Gairns
Summer,Athlete,Lauren,gale,Athletics,,True,False,SR1,Canadian Elite,,,Lauren gale
Winter,Athlete,Jennifer,Gardiner,Hockey,,True,False,D,Canadian Elite,,,Jennifer Gardiner
Summer,Athlete,Payton,Gauthier,Rowing,Incomplete,True,False,D,Canadian Elite,Male,,Payton Gauthier
Summer,Athlete,Jackie,Gay,Para Sailing,Active,True,True,SR,Canadian Elite,Female,,Jackie Gay
Summer,Athlete,John,Gay,Athletics,Active,True,True,SR,Canadian Elite,Male,,John Gay
Summer,Athlete,Adrianna,Giese,Soccer,Incomplete,True,False,D,Canadian Elite,Female,,Adrianna Giese
Winter,Athlete,Sascha,Gilbert,Alpine Ski,Incomplete,True,True,D,Canadian Elite,Male,,Sascha Gilbert
Summer,Athlete,Vanessa,Gilles,Soccer,,True,False,SR,Canadian Elite,,,Vanessa Gilles
Summer,Athlete,Zachary,Gingras,Para Athletics,,True,False,SR2 ,Canadian Elite,,,Zachary Gingras
Winter,Athlete,Dillan,Glennie,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Female,,Dillan Glennie
Summer,Athlete,Ana Paula,Godinez,Wrestling,,True,False,SR1,Canadian Elite,,,Ana Paula Godinez
Summer,Athlete,Ana Paula,Godinez Gonzalez,Wrestling,Incomplete,True,False,SR1,Canadian Elite,,,Ana Paula Godinez Gonzalez
Summer,Athlete,Luc,Goertzen,Diving,Active,True,True,D,Canadian Elite,Male,,Luc Goertzen
Winter,Athlete,Sam,Goodison,Freestyle Ski,Active,True,True,D,Canadian Elite,Male,,Sam Goodison
Summer,Athlete,Owen,Goodman,Soccer,,True,False,SR,Canadian Elite,,,Owen Goodman
Summer,Athlete,Sara,Goodman,Field Hockey,Active,True,True,SR,Canadian Elite,Female,,Sara Goodman
Winter,Athlete,Michaela,Gosselin,Para Alpine Ski,Incomplete,True,True,SR1,Canadian Elite,Female,,Michaela Gosselin
Summer,Athlete,Izzy,Goudros,Athletics,,True,False,D,Canadian Elite,,,Izzy Goudros
Winter,Athlete,Gracie,Graham,Hockey,,True,False,D,Canadian Elite,,,Gracie Graham
Summer,Athlete,Clara,Gravely,Sailing,Active,True,True,SR,Canadian Elite,Female,,Clara Gravely
Winter,Athlete,Cyrus,Gray,Bobsleigh,,True,False,D,Canadian Elite,,,Cyrus Gray
Winter,Athlete,Zander,Greco,Skeleton,Expired,True,True,D,Canadian Elite,Male,,Zander Greco
Winter,Athlete,Moira,Green,Biathlon,Active,True,True,SR,Canadian Elite,Female,,Moira Green
Summer,Athlete,Julia,Greenshields,Rugby,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Julia Greenshields
