Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Winter,Athlete,Elliot,Vaillancourt,Freestyle Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Elliot Vaillancourt
Summer,Athlete,Grace,VandenBroek,Rowing,Active,True,True,SR,Canadian Elite,Female,,Grace VandenBroek
Summer,Athlete,Jonas,Van Huizen,Volleyball,,True,False,D,Canadian Elite,,,Jonas Van Huizen
Summer,Athlete,Carla,Van Zyl,Judo,Incomplete,True,False,SR,Canadian Elite,Female,,Carla Van Zyl
Winter,Athlete,Julien,Viel,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Male,,Julien Viel
Summer,Athlete,Evelyne,Viens,Soccer,,True,False,SR,Canadian Elite,,,Evelyne Viens
Winter,Athlete,Erica,Voss,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Female,,Erica Voss
Summer,Athlete,Noah,Vucsics,Para Athletics,,True,False,SR1,Canadian Elite,,,Noah Vucsics
Winter,Athlete,Leah,Walkeden,Bobsleigh,Active,True,False,SR,Canadian Elite,Female,,Leah Walkeden
Winter,Athlete,Liam,Wallace,Alpine Ski,,True,False,SR,Canadian Elite,,,Liam Wallace
Winter,Athlete,Devin,Wardrope,Luge,Active,True,True,SR,Canadian Elite,Male,,Devin Wardrope
Summer,Athlete,Damien,Warner,Athletics,,True,False,SR2 ,Canadian Elite,,,Damien Warner
Summer,Athlete,Joel,Waterman,Soccer,,True,False,SR,Canadian Elite,,,Joel Waterman
Winter,Athlete,Reid,Watts,Luge,Expired,True,True,GamePlan - Retired,Canadian Elite,Male,,Reid Watts
Summer,Athlete,Stephen,Webb,Rugby,,True,False,D,Canadian Elite,,,Stephen Webb
Summer,Athlete,Brock,Webster,Rugby,Active,True,True,SR1,Canadian Elite,Male,,Brock Webster
Summer,Athlete,Nolan,Weinmeyer,Baseball,,True,False,D,Canadian Elite,,,Nolan Weinmeyer
Summer,Athlete,Thomas,Wells Richards,Rugby,,True,False,D,Canadian Elite,,,Thomas Wells Richards
Summer,Athlete,Matthys,Weststrate,Volleyball,Active,True,True,D,Canadian Elite,Male,,Matthys Weststrate
Summer,Athlete,Jalon,White,Athletics,,True,False,D,Canadian Elite,,,Jalon White
Summer,Athlete,Carly,Wickenheiser,Soccer,,True,False,SR,Canadian Elite,,,Carly Wickenheiser
Winter,Athlete,Natalie,Wilkie,Para Cross-Country Ski,Active,True,True,SR1,Canadian Elite,Female,,Natalie Wilkie
Summer,Athlete,Ingrid,Wilm,Swimming,Active,True,True,SR1,Canadian Elite,Female,,Ingrid Wilm
Winter,Athlete,Eden,Wilson,Bobsleigh,,True,False,D,Canadian Elite,,,Eden Wilson
Summer,Athlete,Natasha,Wodak,Athletics,Active,True,True,SR,Canadian Elite,Female,,Natasha Wodak
Summer,Athlete,Carter,Woods,Cycling,,True,False,D,Canadian Elite,,,Carter Woods
Winter,Athlete,Hugo,Yang,Speed Skating,,True,False,C1,Canadian Elite,,,Hugo Yang
Summer,Athlete,Shelina,Zadorsky,Soccer,,True,False,SR,Canadian Elite,,,Shelina Zadorsky
Winter,Athlete,Micah,Zandee-Hart,Hockey,Active,True,True,SR2 ,Canadian Elite,Female,,Micah Zandee-Hart
Winter,Athlete,Mark,Zanette,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Male,,Mark Zanette
Summer,Athlete,Carling,Zeeman,Rowing,Active,True,True,SR,Canadian Elite,Female,,Carling Zeeman
Summer,Athlete,Ahmad,Zeividavi,Goalball,,True,False,SRI,Canadian Elite,,,Ahmad Zeividavi
Summer,Athlete,Jesse,Zesseu,Para Athletics,,True,False,SR1,Canadian Elite,,,Jesse Zesseu
Summer,Athlete,Mo,Zhang,Table Tennis,Incomplete,True,False,SR,Canadian Elite,Female,,Mo Zhang
